repo,stars,language,status,n_commits,n_devs,strict_tfdd_found,relaxed_tfdd_found
openziti/ziti,4354,Go,ok,6124,66.0,False,False
ornladios/ADIOS2,326,C++,ok,7833,143.0,False,False
endoflife-date/endoflife.date,3361,Ruby,too_many_commits,10683,,,
microsoft/D3D9On12,399,C++,ok,106,16.0,False,False
GrokImageCompression/grok,292,C++,ok,852,2.0,False,False
rubocop/rubocop,12900,Ruby,too_many_commits,13290,,,
pytest-dev/pytest-asyncio,1657,Python,ok,1430,84.0,False,False
OtusGolang/webinars_practical_part,103,Go,ok,155,14.0,True,True
microsoft/D3D12TranslationLayer,355,C++,ok,135,23.0,True,True
gitlabhq/omnibus-gitlab,230,Ruby,too_many_commits,12607,,,
ccache/ccache,2933,C++,ok,5138,246.0,False,False
mrmlnc/fast-glob,2823,JavaScript,ok,657,35.0,True,True
camunda/connectors,65,Java,ok,5643,119.0,False,False
protobufjs/protobuf.js,10582,JavaScript,ok,1102,133.0,False,False
larsbijl/trending_archive,394,Python,ok,4347,5.0,False,False
BanManagement/BanManager-WebUI,61,JavaScript,ok,2044,19.0,True,True
jlandowner/helm-chartsnap,111,Go,ok,247,6.0,False,False
cert-manager/csi-driver-spiffe,86,Go,ok,577,28.0,True,True
nginx/nginx-s3-gateway,744,JavaScript,ok,447,55.0,False,False
anchore/syft,9444,Go,ok,3361,283.0,False,False
ubicloud/ubicloud,12245,Ruby,too_many_commits,9060,,,
brianpetro/obsidian-smart-connections,5385,JavaScript,ok,1895,9.0,False,False
beefytech/Beef,2844,C++,ok,5384,79.0,False,False
rubycdp/ferrum,2038,Ruby,ok,616,84.0,False,False
google/quiche,889,C++,ok,7544,44.0,False,False
pytorch/gloo,1447,C++,ok,544,122.0,True,True
nova-video-player/aos-Video,101,Java,ok,3365,23.0,True,True
pytorch/FBGEMM,1583,C++,ok,5294,549.0,False,False
aws/aws-parallelcluster-cookbook,114,Ruby,ok,3671,92.0,True,True
xbmc/inputstream.adaptive,528,C++,ok,1900,87.0,True,True
thoughtbot/factory_bot,8169,Ruby,ok,1314,322.0,False,True
eracle/OpenOutreach,2790,Python,ok,937,9.0,False,False
sul-dlss/SearchWorks,52,Ruby,ok,6115,31.0,False,True
gambitproject/gambit,574,C++,ok,6673,52.0,True,True
connor-makowski/type_enforced,62,Python,ok,204,10.0,False,False
int128/argocd-commenter,154,Go,ok,1276,7.0,False,False
frenck/spook,1231,Python,ok,1393,109.0,False,False
liuzi6612/awesome-web-editor,892,Python,ok,2213,12.0,True,True
flightaware/cpptcl,58,C++,ok,179,13.0,False,True
CtrlSpice/otel-desktop-viewer,988,Go,ok,241,13.0,False,False
newrelic/newrelic-ruby-agent,1210,Ruby,too_many_commits,17836,,,
bblimke/webmock,4050,Ruby,ok,1550,295.0,True,True
google/copybara,3805,Java,ok,3693,122.0,False,False
joinfaces/joinfaces-maven-jar-example,93,Java,ok,1274,8.0,False,False
WerWolv/ImHex,54526,C++,ok,6563,204.0,False,False
kddnewton/exreg,63,Ruby,ok,40,2.0,False,False
fastly/compute-sdk-go,89,Go,ok,424,30.0,False,False
HoneyryderChuck/httpx,242,Ruby,ok,2959,44.0,False,False
littlehorse-enterprises/littlehorse,395,Java,ok,2030,41.0,False,False
LakhindarPal/discord-player-bot,148,JavaScript,ok,55,3.0,False,False
grpc/grpc-go,23030,Go,ok,5346,588.0,False,False
autobrr/autobrr,2972,Go,ok,1575,150.0,True,True
kronotop/kronotop,305,Java,ok,352,2.0,False,False
thoughtbot/guides,9560,Ruby,ok,632,191.0,False,False
autogluon/autogluon,10610,Python,ok,3001,177.0,False,False
urob/zmk-config,1367,C++,ok,386,10.0,False,False
muety/wakapi,4408,Go,ok,1584,84.0,False,False
RailsEventStore/ecommerce,504,Ruby,ok,2440,42.0,False,False
sqlc-dev/sqlc,18195,Go,ok,1876,268.0,False,True
livekit/ingress,188,Go,ok,409,27.0,False,False
ruby-git/ruby-git,1794,Ruby,ok,1616,127.0,True,True
user234683/youtube-local,771,JavaScript,ok,810,15.0,False,False
untra/polyglot,494,Ruby,ok,359,49.0,True,True
jqno/equalsverifier,742,Java,ok,3670,48.0,False,False
wikimedia/mediawiki-vagrant,69,Ruby,ok,2698,172.0,False,False
doitsujin/dxvk,17895,C++,too_many_commits,8162,,,
GeyserMC/Geyser,5756,Java,ok,4417,177.0,False,False
microsoft/D3D11On12,321,C++,ok,52,11.0,True,True
justoneapi/data-api,588,JavaScript,too_many_commits,72929,,,
