repo,stars,language,status,n_commits,n_devs,strict_tfdd_found,relaxed_tfdd_found,dominant_founder_first_window_share
ClouGence/hasor,997,Java,ok,1256.0,5.0,False,False,1.0
JustinSDK/JavaSE6Tutorial,984,Java,ok,156.0,12.0,True,True,1.0
Krupen/AutoplayVideos,995,Java,ok,123.0,3.0,True,True,0.98
PhilJay/MPAndroidChart,38191,Java,ok,1165.0,51.0,True,True,0.94
PowerJob/PowerJob,7779,Java,ok,894.0,29.0,False,False,1.0
SolaWing/xcode-build-server,998,Python,ok,130.0,11.0,False,False,0.96
Tencent/Shadow,7786,Java,ok,933.0,34.0,True,True,1.0
TestFX/TestFX,976,Java,ok,740.0,52.0,True,True,0.86
aliyun/aliyun-oss-python-sdk,996,Python,ok,535.0,29.0,True,True,1.0
arogozhnikov/einops,9576,Python,ok,664.0,37.0,True,True,0.96
coursera-dl/coursera-dl,9645,Python,ok,982.0,85.0,False,True,0.7805
devote/HTML5-History-API,997,JavaScript,ok,136.0,21.0,True,True,1.0
geerlingguy/ansible-for-devops,9864,Python,ok,401.0,35.0,False,False,0.92
hardcore-sushi/DroidFS,982,Java,ok,455.0,21.0,True,True,0.92
hss01248/DialogUtil,978,Java,ok,146.0,5.0,True,True,0.7619
jadore801120/attention-is-all-you-need-pytorch,9784,Python,ok,183.0,8.0,False,False,0.96
jazzband/geojson,993,Python,ok,433.0,59.0,True,True,0.7
guillaumepotier/Parsley.js,8978,JavaScript,ok,1031.0,191.0,True,True,0.92
langchain-ai/langchain,144724,Python,ok,2160.0,528.0,False,False,0.84
ljharb/qs,8943,JavaScript,ok,959.0,83.0,True,True,0.8
luisbocanegra/kde-material-you-colors,990,Python,ok,538.0,9.0,True,True,1.0
mdbootstrap/material-design-for-bootstrap,9251,JavaScript,ok,190.0,24.0,False,True,0.7407
jenkinsci/jenkins,26478,Java,ok,2847.0,270.0,False,False,1.0
qiutiandefeng/yfexam-exam,997,Java,single_dev_never_had_team,,,,,
rastapasta/mapscii,9222,JavaScript,ok,254.0,14.0,True,True,0.98
robert-bor/aho-corasick,990,Java,ok,94.0,17.0,True,True,1.0
moment/moment,47915,JavaScript,ok,1501.0,437.0,False,True,0.98
sensepost/objection,9335,Python,ok,830.0,73.0,False,False,1.0
taehoonlee/tensornets,996,Python,ok,281.0,7.0,False,False,0.98
terkelg/prompts,9310,JavaScript,ok,221.0,67.0,True,True,0.72
typefully/minimal-twitter,991,JavaScript,ok,678.0,16.0,True,True,0.98
ultralytics/yolov5,57917,Python,ok,1911.0,225.0,False,False,1.0
ytdl-org/youtube-dl,140983,Python,ok,3480.0,342.0,True,True,1.0
scikit-learn/scikit-learn,66998,Python,ok,3219.0,693.0,False,False,1.0
